dataset_id,treatment_case,bf_cost_multiplier,model,query_count,query_geomean_adjusted_speedup_vs_baseline,queries_still_faster,queries_now_slower
tpch_sf50_t64,4,1.5,cpu_share,22,0.995092165,7,9
tpch_sf50_t64,4,2,cpu_share,22,0.981787079,5,11
tpch_sf50_t64,4,4,cpu_share,22,0.933467635,3,13
tpch_sf50_t64,4,8,cpu_share,22,0.857345397,0,16
tpch_sf50_t8,2,1,cpu_share,22,1.25476194,9,1
tpch_sf50_t8,2,1.5,cpu_share,22,1.2060004,9,2
tpch_sf50_t8,2,2,cpu_share,22,1.16362006,9,2
tpch_sf50_t8,2,4,cpu_share,22,1.04086773,5,6
tpch_sf50_t8,2,8,cpu_share,22,0.894807609,1,10
tpch_sf50_t8,4,1,cpu_share,22,1.3934787,14,0
tpch_sf50_t8,4,1.5,cpu_share,22,1.29430951,14,1
tpch_sf50_t8,4,2,cpu_share,22,1.21333608,13,2
tpch_sf50_t8,4,4,cpu_share,22,0.993693243,6,9
tpch_sf50_t8,4,8,cpu_share,22,0.763994,2,13
