dataset_id,benchmark,suite,scale_factor,threads,comparison,query_count,queries_with_paired_success,query_geomean_of_median_speedup,query_median_of_median_speedup,queries_treatment_faster,queries_treatment_slower,queries_tied,queries_at_least_10pct_faster,queries_at_least_2x_faster
tpch_sf50_t64,TPCH SF50,tpch,50,64,backward_vs_forward,22,22,0.99385507,1,7,8,7,0,0
tpch_sf50_t64,TPCH SF50,tpch,50,64,forward_vs_baseline,22,22,1.01341786,1,7,4,11,1,0
tpch_sf50_t64,TPCH SF50,tpch,50,64,full_vs_baseline,22,22,1.00909771,1,8,6,8,2,0
tpch_sf50_t64,TPCH SF50,tpch,50,64,full_vs_thc,22,22,1.04821763,1.00106383,11,8,3,5,0
tpch_sf50_t64,TPCH SF50,tpch,50,64,thc_vs_baseline,22,22,0.966181764,1,9,9,4,1,0
tpch_sf50_t64,TPCH SF50,tpch,50,64,thc_vs_forward,22,22,0.948564168,0.997916667,2,11,9,0,0
tpch_sf50_t8,TPCH SF50,tpch,50,8,backward_vs_forward,22,22,1.10348161,1.01282051,11,2,9,7,0
tpch_sf50_t8,TPCH SF50,tpch,50,8,forward_vs_baseline,22,22,1.25476194,1,9,1,12,9,2
tpch_sf50_t8,TPCH SF50,tpch,50,8,full_vs_baseline,22,22,1.3934787,1.28125,14,0,8,14,5
tpch_sf50_t8,TPCH SF50,tpch,50,8,full_vs_thc,22,22,1.20388966,1.1844419,16,1,5,12,1
tpch_sf50_t8,TPCH SF50,tpch,50,8,thc_vs_baseline,22,22,1.15105736,1,8,8,6,8,2
tpch_sf50_t8,TPCH SF50,tpch,50,8,thc_vs_forward,22,22,0.917725576,0.969768361,0,11,11,0,0
