dataset_id,benchmark,suite,scale_factor,threads,query,comparison,base_case,treatment_case,paired_success_count,treatment_completion_win_count,treatment_completion_loss_count,both_failed_count,median_speedup,geomean_speedup,p10_speedup,p90_speedup,treatment_win_rate_paired,tie_rate_paired,helped_at_least_10pct_rate,hurt_at_least_10pct_rate,at_least_2x_speedup_rate
job_t1,job,job,,1,4c,backward_vs_forward,2,4,20,0,0,0,1.57352941,1.45627142,1.20588235,1.66666667,1,0,1,0,0
job_t1,job,job,,1,4c,full_vs_thc,3,4,20,0,0,0,1.58823529,1.45377435,1.23235294,1.66666667,1,0,1,0,0
job_t1,job,job,,1,5a,forward_vs_baseline,1,2,20,0,0,0,21.5,19.5053101,17.76,24.7625,1,0,1,0,1
job_t1,job,job,,1,5a,thc_vs_baseline,1,3,20,0,0,0,21.0208333,19.3590129,17.56,24.7625,1,0,1,0,1
job_t1,job,job,,1,5a,full_vs_baseline,1,4,20,0,0,0,22.5,22.1308635,19.1,24.7625,1,0,1,0,1
job_t1,job,job,,1,5a,thc_vs_forward,2,3,20,0,0,0,1,0.992499626,0.888888889,1.125,0.15,0.6,0.15,0.2,0
job_t1,job,job,,1,5a,backward_vs_forward,2,4,20,0,0,0,1,1.13460711,0.888888889,1.34583333,0.3,0.55,0.3,0.15,0.1
job_t1,job,job,,1,5a,full_vs_thc,3,4,20,0,0,0,1,1.1431814,1,1.34583333,0.25,0.7,0.25,0.05,0.1
job_t1,job,job,,1,5b,forward_vs_baseline,1,2,20,0,0,0,5.60952381,8.28433762,5.18742857,15.8875,1,0,1,0,1
job_t1,job,job,,1,5b,thc_vs_baseline,1,3,20,0,0,0,5.63452381,8.30788128,5.15352381,15.8875,1,0,1,0,1
job_t1,job,job,,1,5b,full_vs_baseline,1,4,20,0,0,0,5.92619048,8.47465092,5.33333333,15.8875,1,0,1,0,1
job_t1,job,job,,1,5b,thc_vs_forward,2,3,20,0,0,0,1,1.00284195,0.996,1.05,0.15,0.75,0,0,0
job_t1,job,job,,1,5b,backward_vs_forward,2,4,20,0,0,0,1,1.02297266,0.995238095,1.05928571,0.3,0.6,0.1,0,0
job_t1,job,job,,1,5b,full_vs_thc,3,4,20,0,0,0,1,1.02007367,0.952380952,1.06404762,0.3,0.5,0.1,0,0
job_t1,job,job,,1,5c,forward_vs_baseline,1,2,20,0,0,0,1.84415292,1.92110779,1.77012146,2.13616708,1,0,1,0,0.4
job_t1,job,job,,1,5c,thc_vs_baseline,1,3,20,0,0,0,1.83122189,1.92194042,1.77898707,2.12896806,1,0,1,0,0.4
job_t1,job,job,,1,5c,full_vs_baseline,1,4,20,0,0,0,2.0003276,1.98409995,1.85390663,2.12511261,1,0,1,0,0.5
job_t1,job,job,,1,5c,thc_vs_forward,2,3,20,0,0,0,1,1.00043341,0.984429708,1.00981938,0.45,0.2,0,0,0
job_t1,job,job,,1,5c,backward_vs_forward,2,4,20,0,0,0,1.02690637,1.0327895,0.990990991,1.05585586,0.8,0.05,0.1,0,0
